store,category,product_id,product_name,canonical_product_name,price,old_price,currency,unit_price,price_per_kg,price_per_piece,loyalty_required,loyalty_program,loyalty_price,discount_label,date_range,url,image_url,scraped_at
Albert,"Maso, uzeniny a ryby",473097,Bavorská klobása kuřecí Albert Gril 240 g,bavorska_klobasa_kureci_gril,49.9,73.38,Kč,"20,79 Kč / 100 g",207.9,,False,,,-32% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=10&map=210925731,https://img.kupi.cz/kupi/thumbs/bavorska-klobasa-kureci-albert-gril_170_340.png,2026-08-24T19:15:48+02:00
Albert,Sladkosti a slané snacky,687,BeBe Brumík Opavia,bebe_brumik_opavia,79.9,119.25,Kč,"26,63 Kč / 100 g",266.3,,False,,,-33% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=21&map=210608559,https://img.kupi.cz/kupi/thumbs/bebe-brumik-opavia_170_340.jpg,2026-08-24T19:16:47+02:00
Albert,Sladkosti a slané snacky,687,BeBe Brumík Opavia,bebe_brumik_opavia,79.9,119.25,Kč,"26,63 Kč / 100 g",266.3,,False,,,-33% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=27&map=210927336,https://img.kupi.cz/kupi/thumbs/bebe-brumik-opavia_170_340.jpg,2026-08-24T19:16:47+02:00
Billa,Sladkosti a slané snacky,687,BeBe Brumík Opavia 150 g,bebe_brumik_opavia,39.9,,Kč,"26,60 Kč / 100 g",266.0,,False,,,platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-na-ceste-za-jednickami?page=15&map=209932869,https://img.kupi.cz/kupi/thumbs/bebe-brumik-opavia_170_340.jpg,2026-08-24T19:18:25+02:00
Lidl,Sladkosti a slané snacky,687,BeBe Brumík Opavia 30 g,bebe_brumik_opavia,59.9,,Kč,"19,97 Kč / 100 g",199.7,,False,,,platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=2&map=211180698,https://img.kupi.cz/kupi/thumbs/bebe-brumik-opavia_170_340.jpg,2026-08-24T19:19:27+02:00
Tesco,Sladkosti a slané snacky,687,BeBe Brumík Opavia 30 g,bebe_brumik_opavia,27.0,40.3,Kč,"30,00 Kč / 100 g",300.0,,True,Clubcard,27.0,-33% Clubcard zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letaky/tesco,https://img.kupi.cz/kupi/thumbs/bebe-brumik-opavia_170_340.jpg,2026-08-24T19:19:59+02:00
Albert,Alkohol,981,Becherovka,becherovka,179.0,248.61,Kč,"358,00 Kč / 1 l",,,False,,,-28% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=30&map=210610440,https://img.kupi.cz/kupi/thumbs/becherovka_170_340.jpg,2026-08-24T19:17:13+02:00
Albert,Alkohol,981,Becherovka,becherovka,249.0,336.49,Kč,"355,71 Kč / 1 l",,,False,,,-26% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=33&map=210927753,https://img.kupi.cz/kupi/thumbs/becherovka_170_340.jpg,2026-08-24T19:17:13+02:00
Billa,Alkohol,981,Becherovka 0.7 l,becherovka,259.9,,Kč,"371,29 Kč / 1 l",,,False,,,zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?page=24&map=210903480,https://img.kupi.cz/kupi/thumbs/becherovka_170_340.jpg,2026-08-24T19:18:38+02:00
Lidl,Alkohol,981,Becherovka 0.7 l,becherovka,229.9,,Kč,"328,43 Kč / 1 l",,,False,,,platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=30&map=211184829,https://img.kupi.cz/kupi/thumbs/becherovka_170_340.jpg,2026-08-24T19:19:31+02:00
